pathway,-log10(pvalue)
REACTOME PRE NOTCH TRANSCRIPTION AND TRANSLATION,2.922695216851314
REACTOME TRAF6 MEDIATED IRF7 ACTIVATION,2.8931836827525697
REACTOME TRANSCRIPTIONAL ACTIVITY OF SMAD2 SMAD3 SMAD4 HETEROTRIMER,2.688330442445285
REACTOME PRE NOTCH EXPRESSION AND PROCESSING,2.5621034446397046
REACTOME SIGNALING BY TGF BETA RECEPTOR COMPLEX,2.2558656033027877
KEGG LONG TERM POTENTIATION,2.166807474005555
KEGG RENAL CELL CARCINOMA,2.166807474005555
REACTOME RIG I MDA5 MEDIATED INDUCTION OF IFN ALPHA BETA PATHWAYS,2.131451843797422
KEGG ADHERENS JUNCTION,2.1087158461335207
KEGG TGF BETA SIGNALING PATHWAY,1.9940489482971722
KEGG PROSTATE CANCER,1.9654452576870654
KEGG MELANOGENESIS,1.8522511989881176
BIOCARTA SET PATHWAY,1.7068092654168334
KEGG CELL CYCLE,1.6658578521197576
REACTOME FACTORS INVOLVED IN MEGAKARYOCYTE DEVELOPMENT AND PLATELET PRODUCTION,1.640824823985799
REACTOME NOTCH HLH TRANSCRIPTION PATHWAY,1.6349873590466772
BIOCARTA HIF PATHWAY,1.573567918868041
BIOCARTA NUCLEARRS PATHWAY,1.573567918868041
KEGG WNT SIGNALING PATHWAY,1.5321398868904792
BIOCARTA PML PATHWAY,1.5199384286569437
KEGG JAK STAT SIGNALING PATHWAY,1.5111521183246277
BIOCARTA ETS PATHWAY,1.495478820487489
BIOCARTA HER2 PATHWAY,1.4097838095948394
BIOCARTA P53HYPOXIA PATHWAY,1.3908422611011937
BIOCARTA MEF2D PATHWAY,1.3908422611011937
BIOCARTA CSK PATHWAY,1.372722388244754
BIOCARTA G2 PATHWAY,1.372722388244754
BIOCARTA WNT PATHWAY,1.3386871259439135
REACTOME NUCLEAR SIGNALING BY ERBB4,1.1782317199695367
ST DIFFERENTIATION PATHWAY IN PC12 CELLS,1.107338188327126
REACTOME INNATE IMMUNE SYSTEM,1.0548537838668606
BIOCARTA NFAT PATHWAY,1.016339468646456
WNT SIGNALING,0.8270133493626443
REACTOME SIGNALING BY ERBB4,0.8225194368521779
REACTOME HEMOSTASIS,0.6915578601799086
KEGG INSULIN SIGNALING PATHWAY,0.6568090149302784
REACTOME IMMUNE SYSTEM,0.2895725910077656
KEGG GLYCOLYSIS GLUCONEOGENESIS,-0
KEGG CITRATE CYCLE TCA CYCLE,-0
KEGG PENTOSE PHOSPHATE PATHWAY,-0
KEGG PENTOSE AND GLUCURONATE INTERCONVERSIONS,-0
KEGG FRUCTOSE AND MANNOSE METABOLISM,-0
KEGG GALACTOSE METABOLISM,-0
KEGG ASCORBATE AND ALDARATE METABOLISM,-0
KEGG FATTY ACID METABOLISM,-0
KEGG STEROID BIOSYNTHESIS,-0
KEGG PRIMARY BILE ACID BIOSYNTHESIS,-0
KEGG STEROID HORMONE BIOSYNTHESIS,-0
KEGG OXIDATIVE PHOSPHORYLATION,-0
KEGG PURINE METABOLISM,-0
KEGG PYRIMIDINE METABOLISM,-0
KEGG ALANINE ASPARTATE AND GLUTAMATE METABOLISM,-0
KEGG GLYCINE SERINE AND THREONINE METABOLISM,-0
KEGG CYSTEINE AND METHIONINE METABOLISM,-0
KEGG VALINE LEUCINE AND ISOLEUCINE DEGRADATION,-0
KEGG VALINE LEUCINE AND ISOLEUCINE BIOSYNTHESIS,-0
KEGG LYSINE DEGRADATION,-0
KEGG ARGININE AND PROLINE METABOLISM,-0
KEGG HISTIDINE METABOLISM,-0
KEGG TYROSINE METABOLISM,-0
KEGG PHENYLALANINE METABOLISM,-0
KEGG TRYPTOPHAN METABOLISM,-0
KEGG BETA ALANINE METABOLISM,-0
KEGG TAURINE AND HYPOTAURINE METABOLISM,-0
KEGG SELENOAMINO ACID METABOLISM,-0
KEGG GLUTATHIONE METABOLISM,-0
KEGG STARCH AND SUCROSE METABOLISM,-0
KEGG N GLYCAN BIOSYNTHESIS,-0
KEGG OTHER GLYCAN DEGRADATION,-0
KEGG O GLYCAN BIOSYNTHESIS,-0
KEGG AMINO SUGAR AND NUCLEOTIDE SUGAR METABOLISM,-0
KEGG GLYCOSAMINOGLYCAN DEGRADATION,-0
KEGG GLYCOSAMINOGLYCAN BIOSYNTHESIS CHONDROITIN SULFATE,-0
KEGG GLYCOSAMINOGLYCAN BIOSYNTHESIS KERATAN SULFATE,-0
KEGG GLYCOSAMINOGLYCAN BIOSYNTHESIS HEPARAN SULFATE,-0
KEGG INOSITOL PHOSPHATE METABOLISM,-0
KEGG GLYCOSYLPHOSPHATIDYLINOSITOL GPI ANCHOR BIOSYNTHESIS,-0
KEGG ARACHIDONIC ACID METABOLISM,-0
KEGG LINOLEIC ACID METABOLISM,-0
KEGG ALPHA LINOLENIC ACID METABOLISM,-0
KEGG PYRUVATE METABOLISM,-0
KEGG GLYOXYLATE AND DICARBOXYLATE METABOLISM,-0
KEGG PROPANOATE METABOLISM,-0
KEGG BUTANOATE METABOLISM,-0
KEGG ONE CARBON POOL BY FOLATE,-0
KEGG RIBOFLAVIN METABOLISM,-0
KEGG NICOTINATE AND NICOTINAMIDE METABOLISM,-0
KEGG PANTOTHENATE AND COA BIOSYNTHESIS,-0
KEGG FOLATE BIOSYNTHESIS,-0
KEGG RETINOL METABOLISM,-0
KEGG PORPHYRIN AND CHLOROPHYLL METABOLISM,-0
KEGG TERPENOID BACKBONE BIOSYNTHESIS,-0
KEGG LIMONENE AND PINENE DEGRADATION,-0
KEGG NITROGEN METABOLISM,-0
KEGG SULFUR METABOLISM,-0
KEGG AMINOACYL TRNA BIOSYNTHESIS,-0
KEGG METABOLISM OF XENOBIOTICS BY CYTOCHROME P450,-0
KEGG DRUG METABOLISM CYTOCHROME P450,-0
KEGG DRUG METABOLISM OTHER ENZYMES,-0
KEGG BIOSYNTHESIS OF UNSATURATED FATTY ACIDS,-0
KEGG ABC TRANSPORTERS,-0
KEGG RIBOSOME,-0
KEGG RNA DEGRADATION,-0
KEGG RNA POLYMERASE,-0
KEGG BASAL TRANSCRIPTION FACTORS,-0
KEGG DNA REPLICATION,-0
KEGG SPLICEOSOME,-0
KEGG PROTEASOME,-0
KEGG PROTEIN EXPORT,-0
KEGG BASE EXCISION REPAIR,-0
KEGG NUCLEOTIDE EXCISION REPAIR,-0
KEGG MISMATCH REPAIR,-0
KEGG HOMOLOGOUS RECOMBINATION,-0
KEGG NON HOMOLOGOUS END JOINING,-0
KEGG MAPK SIGNALING PATHWAY,-0
KEGG ERBB SIGNALING PATHWAY,-0
KEGG CALCIUM SIGNALING PATHWAY,-0
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION,-0
KEGG CHEMOKINE SIGNALING PATHWAY,-0
KEGG PHOSPHATIDYLINOSITOL SIGNALING SYSTEM,-0
KEGG NEUROACTIVE LIGAND RECEPTOR INTERACTION,-0
KEGG OOCYTE MEIOSIS,-0
KEGG P53 SIGNALING PATHWAY,-0
KEGG UBIQUITIN MEDIATED PROTEOLYSIS,-0
KEGG SNARE INTERACTIONS IN VESICULAR TRANSPORT,-0
KEGG REGULATION OF AUTOPHAGY,-0
KEGG LYSOSOME,-0
KEGG ENDOCYTOSIS,-0
KEGG PEROXISOME,-0
KEGG MTOR SIGNALING PATHWAY,-0
KEGG APOPTOSIS,-0
KEGG CARDIAC MUSCLE CONTRACTION,-0
KEGG VASCULAR SMOOTH MUSCLE CONTRACTION,-0
KEGG DORSO VENTRAL AXIS FORMATION,-0
KEGG HEDGEHOG SIGNALING PATHWAY,-0
KEGG AXON GUIDANCE,-0
KEGG VEGF SIGNALING PATHWAY,-0
KEGG FOCAL ADHESION,-0
KEGG ECM RECEPTOR INTERACTION,-0
KEGG CELL ADHESION MOLECULES CAMS,-0
KEGG TIGHT JUNCTION,-0
KEGG GAP JUNCTION,-0
KEGG COMPLEMENT AND COAGULATION CASCADES,-0
KEGG ANTIGEN PROCESSING AND PRESENTATION,-0
KEGG RENIN ANGIOTENSIN SYSTEM,-0
KEGG TOLL LIKE RECEPTOR SIGNALING PATHWAY,-0
KEGG NOD LIKE RECEPTOR SIGNALING PATHWAY,-0
KEGG RIG I LIKE RECEPTOR SIGNALING PATHWAY,-0
KEGG CYTOSOLIC DNA SENSING PATHWAY,-0
KEGG HEMATOPOIETIC CELL LINEAGE,-0
KEGG NATURAL KILLER CELL MEDIATED CYTOTOXICITY,-0
KEGG T CELL RECEPTOR SIGNALING PATHWAY,-0
KEGG B CELL RECEPTOR SIGNALING PATHWAY,-0
KEGG FC EPSILON RI SIGNALING PATHWAY,-0
KEGG FC GAMMA R MEDIATED PHAGOCYTOSIS,-0
KEGG LEUKOCYTE TRANSENDOTHELIAL MIGRATION,-0
KEGG INTESTINAL IMMUNE NETWORK FOR IGA PRODUCTION,-0
KEGG CIRCADIAN RHYTHM MAMMAL,-0
KEGG NEUROTROPHIN SIGNALING PATHWAY,-0
KEGG LONG TERM DEPRESSION,-0
KEGG OLFACTORY TRANSDUCTION,-0
KEGG TASTE TRANSDUCTION,-0
KEGG REGULATION OF ACTIN CYTOSKELETON,-0
KEGG GNRH SIGNALING PATHWAY,-0
KEGG PROGESTERONE MEDIATED OOCYTE MATURATION,-0
KEGG TYPE II DIABETES MELLITUS,-0
KEGG TYPE I DIABETES MELLITUS,-0
KEGG MATURITY ONSET DIABETES OF THE YOUNG,-0
KEGG ALDOSTERONE REGULATED SODIUM REABSORPTION,-0
KEGG VASOPRESSIN REGULATED WATER REABSORPTION,-0
KEGG PROXIMAL TUBULE BICARBONATE RECLAMATION,-0
KEGG ALZHEIMERS DISEASE,-0
KEGG PARKINSONS DISEASE,-0
KEGG AMYOTROPHIC LATERAL SCLEROSIS ALS,-0
KEGG PRION DISEASES,-0
KEGG VIBRIO CHOLERAE INFECTION,-0
KEGG EPITHELIAL CELL SIGNALING IN HELICOBACTER PYLORI INFECTION,-0
KEGG PATHOGENIC ESCHERICHIA COLI INFECTION,-0
KEGG LEISHMANIA INFECTION,-0
KEGG COLORECTAL CANCER,-0
KEGG PANCREATIC CANCER,-0
KEGG ENDOMETRIAL CANCER,-0
KEGG GLIOMA,-0
KEGG BASAL CELL CARCINOMA,-0
KEGG MELANOMA,-0
KEGG BLADDER CANCER,-0
KEGG CHRONIC MYELOID LEUKEMIA,-0
KEGG ACUTE MYELOID LEUKEMIA,-0
KEGG ASTHMA,-0
KEGG AUTOIMMUNE THYROID DISEASE,-0
KEGG SYSTEMIC LUPUS ERYTHEMATOSUS,-0
KEGG ALLOGRAFT REJECTION,-0
KEGG GRAFT VERSUS HOST DISEASE,-0
KEGG PRIMARY IMMUNODEFICIENCY,-0
KEGG HYPERTROPHIC CARDIOMYOPATHY HCM,-0
KEGG ARRHYTHMOGENIC RIGHT VENTRICULAR CARDIOMYOPATHY ARVC,-0
KEGG DILATED CARDIOMYOPATHY,-0
KEGG VIRAL MYOCARDITIS,-0
BIOCARTA NO1 PATHWAY,-0
BIOCARTA SRCRPTP PATHWAY,-0
BIOCARTA AMI PATHWAY,-0
BIOCARTA GRANULOCYTES PATHWAY,-0
BIOCARTA LYM PATHWAY,-0
BIOCARTA ARAP PATHWAY,-0
BIOCARTA AGR PATHWAY,-0
BIOCARTA AKAP95 PATHWAY,-0
BIOCARTA AKT PATHWAY,-0
BIOCARTA ALK PATHWAY,-0
BIOCARTA AT1R PATHWAY,-0
BIOCARTA ACE2 PATHWAY,-0
BIOCARTA ASBCELL PATHWAY,-0
BIOCARTA DNAFRAGMENT PATHWAY,-0
BIOCARTA CHEMICAL PATHWAY,-0
BIOCARTA SPPA PATHWAY,-0
BIOCARTA ATM PATHWAY,-0
BIOCARTA AGPCR PATHWAY,-0
BIOCARTA BCELLSURVIVAL PATHWAY,-0
BIOCARTA BLYMPHOCYTE PATHWAY,-0
BIOCARTA BCR PATHWAY,-0
BIOCARTA BIOPEPTIDES PATHWAY,-0
BIOCARTA NEUROTRANSMITTERS PATHWAY,-0
BIOCARTA RANKL PATHWAY,-0
BIOCARTA CACAM PATHWAY,-0
BIOCARTA CDMAC PATHWAY,-0
BIOCARTA CASPASE PATHWAY,-0
BIOCARTA CBL PATHWAY,-0
BIOCARTA CCR3 PATHWAY,-0
BIOCARTA CD40 PATHWAY,-0
BIOCARTA MCM PATHWAY,-0
BIOCARTA G1 PATHWAY,-0
BIOCARTA CELL2CELL PATHWAY,-0
BIOCARTA LAIR PATHWAY,-0
BIOCARTA CERAMIDE PATHWAY,-0
BIOCARTA TID PATHWAY,-0
BIOCARTA CLASSIC PATHWAY,-0
BIOCARTA COMP PATHWAY,-0
BIOCARTA HDAC PATHWAY,-0
BIOCARTA GCR PATHWAY,-0
BIOCARTA CTCF PATHWAY,-0
BIOCARTA CTL PATHWAY,-0
BIOCARTA CXCR4 PATHWAY,-0
BIOCARTA CELLCYCLE PATHWAY,-0
BIOCARTA CFTR PATHWAY,-0
BIOCARTA CYTOKINE PATHWAY,-0
BIOCARTA INFLAM PATHWAY,-0
BIOCARTA D4GDI PATHWAY,-0
BIOCARTA DC PATHWAY,-0
BIOCARTA P35ALZHEIMERS PATHWAY,-0
BIOCARTA RNA PATHWAY,-0
BIOCARTA MTA3 PATHWAY,-0
BIOCARTA SKP2E2F PATHWAY,-0
BIOCARTA CALCINEURIN PATHWAY,-0
BIOCARTA EGF PATHWAY,-0
BIOCARTA ETC PATHWAY,-0
BIOCARTA NDKDYNAMIN PATHWAY,-0
BIOCARTA EPHA4 PATHWAY,-0
BIOCARTA EPO PATHWAY,-0
BIOCARTA ECM PATHWAY,-0
BIOCARTA ERK PATHWAY,-0
BIOCARTA ERYTH PATHWAY,-0
BIOCARTA EPONFKB PATHWAY,-0
BIOCARTA EIF PATHWAY,-0
BIOCARTA EXTRINSIC PATHWAY,-0
BIOCARTA FAS PATHWAY,-0
BIOCARTA FCER1 PATHWAY,-0
BIOCARTA FEEDER PATHWAY,-0
BIOCARTA FIBRINOLYSIS PATHWAY,-0
BIOCARTA FMLP PATHWAY,-0
BIOCARTA FREE PATHWAY,-0
BIOCARTA GABA PATHWAY,-0
BIOCARTA GATA3 PATHWAY,-0
BIOCARTA GLYCOLYSIS PATHWAY,-0
BIOCARTA GH PATHWAY,-0
BIOCARTA AHSP PATHWAY,-0
BIOCARTA TCAPOPTOSIS PATHWAY,-0
BIOCARTA HIVNEF PATHWAY,-0
BIOCARTA SALMONELLA PATHWAY,-0
BIOCARTA MPR PATHWAY,-0
BIOCARTA HCMV PATHWAY,-0
BIOCARTA IGF1 PATHWAY,-0
BIOCARTA IL17 PATHWAY,-0
BIOCARTA IL2 PATHWAY,-0
BIOCARTA IL3 PATHWAY,-0
BIOCARTA IL4 PATHWAY,-0
BIOCARTA IL5 PATHWAY,-0
BIOCARTA IL6 PATHWAY,-0
BIOCARTA IL10 PATHWAY,-0
BIOCARTA IL12 PATHWAY,-0
BIOCARTA IL2RB PATHWAY,-0
BIOCARTA IL22BP PATHWAY,-0
BIOCARTA GSK3 PATHWAY,-0
BIOCARTA DEATH PATHWAY,-0
BIOCARTA RACCYCD PATHWAY,-0
BIOCARTA GLEEVEC PATHWAY,-0
BIOCARTA INSULIN PATHWAY,-0
BIOCARTA INTEGRIN PATHWAY,-0
BIOCARTA INTRINSIC PATHWAY,-0
BIOCARTA KERATINOCYTE PATHWAY,-0
BIOCARTA TCRA PATHWAY,-0
BIOCARTA LECTIN PATHWAY,-0
BIOCARTA PYK2 PATHWAY,-0
BIOCARTA MAPK PATHWAY,-0
BIOCARTA MCALPAIN PATHWAY,-0
BIOCARTA MONOCYTE PATHWAY,-0
BIOCARTA MTOR PATHWAY,-0
BIOCARTA IGF1R PATHWAY,-0
BIOCARTA NGF PATHWAY,-0
BIOCARTA VIP PATHWAY,-0
BIOCARTA NFKB PATHWAY,-0
BIOCARTA NOS1 PATHWAY,-0
BIOCARTA NO2IL12 PATHWAY,-0
BIOCARTA ARENRF2 PATHWAY,-0
BIOCARTA P38MAPK PATHWAY,-0
BIOCARTA P53 PATHWAY,-0
BIOCARTA PDGF PATHWAY,-0
BIOCARTA CCR5 PATHWAY,-0
BIOCARTA PTDINS PATHWAY,-0
BIOCARTA PLCE PATHWAY,-0
BIOCARTA EDG1 PATHWAY,-0
BIOCARTA CDK5 PATHWAY,-0
BIOCARTA MYOSIN PATHWAY,-0
BIOCARTA PLATELETAPP PATHWAY,-0
BIOCARTA PS1 PATHWAY,-0
BIOCARTA PROTEASOME PATHWAY,-0
BIOCARTA AKAPCENTROSOME PATHWAY,-0
BIOCARTA PTEN PATHWAY,-0
BIOCARTA RAB PATHWAY,-0
BIOCARTA RAC1 PATHWAY,-0
BIOCARTA RAS PATHWAY,-0
BIOCARTA NKCELLS PATHWAY,-0
BIOCARTA RB PATHWAY,-0
BIOCARTA CHREBP2 PATHWAY,-0
BIOCARTA BAD PATHWAY,-0
BIOCARTA CK1 PATHWAY,-0
BIOCARTA EIF2 PATHWAY,-0
BIOCARTA EIF4 PATHWAY,-0
BIOCARTA STEM PATHWAY,-0
BIOCARTA P27 PATHWAY,-0
BIOCARTA DREAM PATHWAY,-0
BIOCARTA LEPTIN PATHWAY,-0
BIOCARTA RHO PATHWAY,-0
BIOCARTA AKAP13 PATHWAY,-0
BIOCARTA ATRBRCA PATHWAY,-0
BIOCARTA CARDIACEGF PATHWAY,-0
BIOCARTA ERK5 PATHWAY,-0
BIOCARTA MAL PATHWAY,-0
BIOCARTA MITOCHONDRIA PATHWAY,-0
BIOCARTA ACH PATHWAY,-0
BIOCARTA PARKIN PATHWAY,-0
BIOCARTA CDC42RAC PATHWAY,-0
BIOCARTA RANMS PATHWAY,-0
BIOCARTA BARR MAPK PATHWAY,-0
BIOCARTA TOB1 PATHWAY,-0
BIOCARTA BARRESTIN SRC PATHWAY,-0
BIOCARTA NKT PATHWAY,-0
BIOCARTA IL1R PATHWAY,-0
BIOCARTA MET PATHWAY,-0
BIOCARTA GPCR PATHWAY,-0
BIOCARTA IGF1MTOR PATHWAY,-0
BIOCARTA SODD PATHWAY,-0
BIOCARTA SHH PATHWAY,-0
BIOCARTA PTC1 PATHWAY,-0
BIOCARTA SPRY PATHWAY,-0
BIOCARTA BARRESTIN PATHWAY,-0
BIOCARTA STATHMIN PATHWAY,-0
BIOCARTA HSP27 PATHWAY,-0
BIOCARTA TCR PATHWAY,-0
BIOCARTA TCYTOTOXIC PATHWAY,-0
BIOCARTA THELPER PATHWAY,-0
BIOCARTA TALL1 PATHWAY,-0
BIOCARTA TEL PATHWAY,-0
BIOCARTA TH1TH2 PATHWAY,-0
BIOCARTA 41BB PATHWAY,-0
BIOCARTA KREB PATHWAY,-0
BIOCARTA CTLA4 PATHWAY,-0
BIOCARTA LONGEVITY PATHWAY,-0
BIOCARTA SARS PATHWAY,-0
BIOCARTA PAR1 PATHWAY,-0
BIOCARTA STRESS PATHWAY,-0
BIOCARTA TNFR1 PATHWAY,-0
BIOCARTA TNFR2 PATHWAY,-0
BIOCARTA TOLL PATHWAY,-0
BIOCARTA TPO PATHWAY,-0
BIOCARTA CREB PATHWAY,-0
BIOCARTA TFF PATHWAY,-0
BIOCARTA TRKA PATHWAY,-0
BIOCARTA ARF PATHWAY,-0
BIOCARTA UCALPAIN PATHWAY,-0
BIOCARTA VEGF PATHWAY,-0
BIOCARTA VITCB PATHWAY,-0
BIOCARTA ACTINY PATHWAY,-0
ST INTERFERON GAMMA PATHWAY,-0
ST WNT CA2 CYCLIC GMP PATHWAY,-0
ST TUMOR NECROSIS FACTOR PATHWAY,-0
SA B CELL RECEPTOR COMPLEXES,-0
ST ERK1 ERK2 MAPK PATHWAY,-0
SIG CD40PATHWAYMAP,-0
SIG PIP3 SIGNALING IN CARDIAC MYOCTES,-0
SA CASPASE CASCADE,-0
ST GA12 PATHWAY,-0
ST G ALPHA S PATHWAY,-0
ST G ALPHA I PATHWAY,-0
SIG CHEMOTAXIS,-0
ST IL 13 PATHWAY,-0
ST P38 MAPK PATHWAY,-0
SIG IL4RECEPTOR IN B LYPHOCYTES,-0
ST JAK STAT PATHWAY,-0
SIG REGULATION OF THE ACTIN CYTOSKELETON BY RHO GTPASES,-0
ST GRANULE CELL SURVIVAL PATHWAY,-0
ST ADRENERGIC,-0
ST INTEGRIN SIGNALING PATHWAY,-0
ST GAQ PATHWAY,-0
ST GA13 PATHWAY,-0
ST STAT3 PATHWAY,-0
SA FAS SIGNALING,-0
SA G1 AND S PHASES,-0
SIG INSULIN RECEPTOR PATHWAY IN CARDIAC MYOCYTES,-0
ST T CELL SIGNAL TRANSDUCTION,-0
ST TYPE I INTERFERON PATHWAY,-0
ST PAC1 RECEPTOR PATHWAY,-0
SIG PIP3 SIGNALING IN B LYMPHOCYTES,-0
SIG BCR SIGNALING PATHWAY,-0
SA G2 AND M PHASES,-0
ST B CELL ANTIGEN RECEPTOR,-0
ST INTERLEUKIN 4 PATHWAY,-0
ST WNT BETA CATENIN PATHWAY,-0
SA MMP CYTOKINE CONNECTION,-0
ST JNK MAPK PATHWAY,-0
SA PROGRAMMED CELL DEATH,-0
ST FAS SIGNALING PATHWAY,-0
ST MYOCYTE AD PATHWAY,-0
SA PTEN PATHWAY,-0
SA REG CASCADE OF CYCLIN EXPR,-0
SA TRKA RECEPTOR,-0
ST PHOSPHOINOSITIDE 3 KINASE PATHWAY,-0
REACTOME GLYCOGEN BREAKDOWN GLYCOGENOLYSIS,-0
REACTOME TRANSLATION,-0
REACTOME PYRIMIDINE CATABOLISM,-0
REACTOME RNA POL III TRANSCRIPTION INITIATION FROM TYPE 2 PROMOTER,-0
REACTOME INHIBITION OF THE PROTEOLYTIC ACTIVITY OF APC C REQUIRED FOR THE ONSET OF ANAPHASE BY MITOTIC SPINDLE CHECKPOINT COMPONENTS,-0
REACTOME PYRUVATE METABOLISM AND CITRIC ACID TCA CYCLE,-0
REACTOME EXTRINSIC PATHWAY FOR APOPTOSIS,-0
REACTOME PTM GAMMA CARBOXYLATION HYPUSINE FORMATION AND ARYLSULFATASE ACTIVATION,-0
REACTOME APOPTOTIC CLEAVAGE OF CELLULAR PROTEINS,-0
REACTOME RNA POL I TRANSCRIPTION TERMINATION,-0
REACTOME FORMATION OF THE TERNARY COMPLEX AND SUBSEQUENTLY THE 43S COMPLEX,-0
REACTOME ACTIVATION OF THE PRE REPLICATIVE COMPLEX,-0
REACTOME PROCESSING OF INTRONLESS PRE MRNAS,-0
REACTOME GAP JUNCTION DEGRADATION,-0
REACTOME BASE EXCISION REPAIR,-0
REACTOME BILE ACID AND BILE SALT METABOLISM,-0
REACTOME SYNTHESIS OF BILE ACIDS AND BILE SALTS VIA 7ALPHA HYDROXYCHOLESTEROL,-0
REACTOME RECYCLING OF BILE ACIDS AND SALTS,-0
REACTOME SIGNALING BY RHO GTPASES,-0
REACTOME SIGNALING BY WNT,-0
REACTOME METABOLISM OF NON CODING RNA,-0
REACTOME SYNTHESIS OF BILE ACIDS AND BILE SALTS VIA 24 HYDROXYCHOLESTEROL,-0
REACTOME SYNTHESIS OF BILE ACIDS AND BILE SALTS,-0
REACTOME METABOLISM OF STEROID HORMONES AND VITAMINS A AND D,-0
REACTOME ANDROGEN BIOSYNTHESIS,-0
REACTOME SIGNALLING BY NGF,-0
REACTOME CTNNB1 PHOSPHORYLATION CASCADE,-0
REACTOME INSULIN RECEPTOR RECYCLING,-0
REACTOME COPI MEDIATED TRANSPORT,-0
REACTOME NEF MEDIATED DOWNREGULATION OF MHC CLASS I COMPLEX CELL SURFACE EXPRESSION,-0
REACTOME SIGNALING BY SCF KIT,-0
REACTOME CROSS PRESENTATION OF SOLUBLE EXOGENOUS ANTIGENS ENDOSOMES,-0
REACTOME SIGNALING BY NODAL,-0
REACTOME DAG AND IP3 SIGNALING,-0
REACTOME SPRY REGULATION OF FGF SIGNALING,-0
REACTOME TCA CYCLE AND RESPIRATORY ELECTRON TRANSPORT,-0
REACTOME ANTIGEN PROCESSING CROSS PRESENTATION,-0
REACTOME GROWTH HORMONE RECEPTOR SIGNALING,-0
REACTOME TRIF MEDIATED TLR3 SIGNALING,-0
REACTOME CELL CELL COMMUNICATION,-0
REACTOME ENDOSOMAL VACUOLAR PATHWAY,-0
REACTOME TETRAHYDROBIOPTERIN BH4 SYNTHESIS RECYCLING SALVAGE AND REGULATION,-0
REACTOME ER PHAGOSOME PATHWAY,-0
REACTOME MEIOSIS,-0
REACTOME NEGATIVE REGULATION OF FGFR SIGNALING,-0
REACTOME G0 AND EARLY G1,-0
REACTOME REGULATION OF KIT SIGNALING,-0
REACTOME MEMBRANE TRAFFICKING,-0
REACTOME NEF MEDIATES DOWN MODULATION OF CELL SURFACE RECEPTORS BY RECRUITING THEM TO CLATHRIN ADAPTERS,-0
REACTOME IMMUNOREGULATORY INTERACTIONS BETWEEN A LYMPHOID AND A NON LYMPHOID CELL,-0
REACTOME ACTIVATED AMPK STIMULATES FATTY ACID OXIDATION IN MUSCLE,-0
REACTOME VITAMIN B5 PANTOTHENATE METABOLISM,-0
REACTOME BOTULINUM NEUROTOXICITY,-0
REACTOME METABOLISM OF VITAMINS AND COFACTORS,-0
REACTOME TRANS GOLGI NETWORK VESICLE BUDDING,-0
